id,name
-9,Undefined
1,Amylax triacantha
2,Achnanthes taeniata
3,Achnanthes sp.
4,Achroonema lentum
5,Achroonema sp.
6,Actinocyclus normanii
7,Actinocyclus octonarius
8,Actinoptychus senarius
9,Actinoptychus undulatus
10,Actinocyclus sp.
11,Alexandrium ostenfeldii/tamarense
12,Alexandrium minutum
13,Alexandrium ostenfeldii
14,Alexandrium tamarense
15,Alexandrium sp.
16,Amphiprora alata
17,Amphidinium bipes
18,Amphidinium crassum
19,Amphiprora gigantea
20,Amphidinium globosum
21,Amphidinium longum
22,Amphora ovalis
23,Amphiprora paludosa
24,Amphidinium sphenoides
25,Amphiprora sp.
26,Amphidinium sp.
27,Amphora sp.
28,Anabaena flos-aquae f. lemmermannii
29,Anabaena/Trichormus sp.
30,Anabaena flos-aquae
31,Anabaena heterospora
32,Anabaena lemmermannii
33,Anabaena sp.
34,Anabaenopsis sp.
35,Ankistrodesmus sp.
36,Aphanizomenon flos-aquae f. gracile
37,Apedinella radians
38,Apedinella spinifera
39,Aphanizomenon flos-aquae
40,Aphanizomenon gracile
41,Aphanocapsa litoralis
42,Aphanothece minutissima
43,Aphanizomenon sp.
44,Aphanocapsa sp.
45,Aphanothece sp.
46,Asterionella formosa
47,Asterionella glacialis
48,Asterionella japonica
49,Asterionella kariana
50,Asterionella sp.
51,Attheya decora
52,Aulacoseira granulata v. granulata
53,Aulacoseira italica v. tenuissima
54,Aulacoseira ambigua
55,Aulacoseira granulata
56,Aulacoseira italica
57,Aulacoseira italica subarctica
58,Aulacoseira sp.
59,Bacillaria paradoxa
60,Bacillaria paxillifera
61,Bacillariales
62,Bacteriosira fragilis
63,Bacteriastrum hyalinum
64,Bacteriastrum sp.
65,Bellerochea malleus
66,Bicosoeca sp.
67,Biddulphia alternans
68,Biddulphia aurita
69,Biddulphia sinensis
70,Bodo sp.
71,Bodo marina
72,Botryococcus braunii
73,Botryococcus sp.
74,Cachonina hallii
75,Cachonina niei
76,Cachonina sp.
77,Calliacantha natans
78,Calliacantha sp.
79,Caloneis sp.
80,Calycomonas wulffii
81,Campylodiscus clypeus
82,Campylodiscus noricus
83,Campylodiscus sp.
84,Ceratium horridum/longipes
85,Ceratium tripos f. truncata
86,Ceratium arietinum
87,Ceratium furca
88,Ceratium fusus
89,Ceratium horridum
90,Ceratium lineatum
91,Ceratium longipes
92,Ceratium macroceros
93,Cerataulina pelagica
94,Ceratium trichoceros
95,Ceratium tripos
96,Cerataulina sp.
97,Ceratium sp.
98,Chaetoceros convolutus f. convolutus
99,Chaetoceros convolutus f. trisetosa
100,Chaetoceros socialis/radians
101,Chaetoceros affinis
102,Chaetoceros anastomosans
103,Chaetoceros atlanticus
104,Chaetoceros borealis
105,Chaetoceros brevis
106,Chaetoceros calcitrans
107,Chaetoceros ceratosporus
108,Chaetoceros cinctus
109,Chaetoceros compressus
110,Chaetoceros coronatus
111,Chaetoceros costatus
112,Chaetoceros constrictus
113,Chaetoceros curvisetus
114,Chaetoceros concavicornis
115,Chaetoceros convolutus
116,Chaetoceros danicus
117,Chaetoceros debilis
118,Chaetoceros decipiens
119,Chaetoceros densus
120,Chaetoceros diadema
121,Chaetoceros didymus
122,Chaetoceros eibenii
123,Chaetoceros externus
124,Chaetoceros fallax
125,Chaetoceros furcellatus
126,Chaetoceros gracilis
127,Chaetoceros holsaticus
128,Chaetoceros ingolfianus
129,Chaetoceros laciniosus
130,Chaetoceros lauderi
131,Chaetoceros lorenzianus
132,Chaetoceros muelleri
133,Chaetoceros perpusillus
134,Chaetoceros pseudocrinitus
135,Chaetoceros peruvianus
136,Chaetoceros radicans
137,Chaetoceros radians
138,Chaetoceros seiracanthus
139,Chaetoceros septentrionalis
140,Chaetoceros similis
141,Chaetoceros socialis
142,Chaetoceros simplex
143,Chaetoceros subtilis
144,Chaetoceros subsecundus
145,Chaetoceros teres
146,Chaetoceros tortissimus
147,Chaetoceros wighamii
148,Chaetoceros; phaeoceros-group
149,Chaetoceros sp.
150,Chatonella sp.
151,Chlamydomonas sp.
152,Chlorella sp.
153,Chlorococcales
154,Chlorophyceae
155,Craspedophyceae
156,Chroococcus dimidiatus
157,Chroococcus limneticus
158,Chroococcus turgidus
159,Chromophyta
160,Chromulina sp.
161,Chroococcales
162,Chroococcus sp.
163,Chroomonas sp.
164,Chrysochromulina hirta
165,Chrysochromulina parkeae
166,Chrysochromulina polylepis
167,Chrysochromulina pringsheimii
168,Chrysochromulina parva
169,Chrysochromulina spinifera
170,Chrysophyceae
171,Chrysochromulina sp.
172,Chrysamoeba sp.
173,Chrysomeris sp.
174,Cladopyxis claytonii
175,Cladopyxis sp.
176,Cocconeis diminuta
177,Cocconeis placentula
178,Hymenomonadaceae
179,Cocconeis sp.
180,Cochlodinium brandti
181,Cochlodinium sp.
182,Coelosphaerium kuetzingianum
183,Coelastrum microporum
184,Coelosphaerium minutissimum
185,Coelomoron pusillum
186,Coelastrum sp.
187,Coelosphaerium sp.
188,Corethron criophilum
189,Corymbellus aureus
190,Coscinodiscus centralis
191,Coscinodiscus concinnus
192,Coscinodiscus granii
193,Coscinodiscus lacustris
194,Coscinodiscus radiatus
195,Coscinodiscus sp.
196,Cryptomonadales
197,Cryptomonas sp.
198,Cryptophyceae
199,Cyclotella caspia
200,Cyclotella comta
201,Cyclotella kuetzingiana
202,Cyclotella meneghiniana
203,Cyclotella sp.
204,Cylindrotheca closterium
205,Cylindrotheca sp.
206,Cymatopleura elliptica
207,Cymatopleura solea
208,Cymatopleura sp.
209,Cymbella cistula
210,Cymbomonas tetramitiformis
211,Cymbella ventricosa
212,Cymbella sp.
213,Dactyliosolen mediterraneus
214,Detonula confervacea
215,Detonula pumila
216,Detonula sp.
217,Diatoma vulgaris/tenue
218,Diaphanoeca pedicellata
219,Diaphanoeca sphaerica
220,Diaphanoeca sp.
221,Diatoma elongata
222,Diatoma vulgare
223,Diatoma sp.
224,Diatomophyceae
225,Dictyocha fibula
226,Dictyosphaerium pulchellum
227,Dictyocha speculum
228,Dictyosphaerium sp.
229,Dictyochales
230,Dictyocha sp.
231,Dinophysis acuminata
232,Dinophysis acuta
233,Dinophysis baltica
234,Dinobryon balticum
235,Dinophysis dens
236,Dinobryon divergens
237,Dinobryon faculiferum
238,Dinophysis hastata
239,Dinophysis norvegica
240,Dinophysis ovum
241,Dinobryon petiolatum
242,Dinophysis punctata
243,Dinophysis rotundata
244,Dinobryon sp.
245,Dinobryon cysts
246,Dinophysiales
247,Dinophysis sp.
248,Dinophyceae; athekate
249,Dinophyceae
250,Dinophyceae; thekate
251,Diplopsalis/Zygabikodinium sp.
252,Dinophyceae; cysts
253,Diplopsalis acuta
254,Diplopsalis lenticula
255,Diplopeltopsis minor
256,Diplopsalopsis orbicularis
257,Diplopelta pusilla
258,Diploneis sp.
259,Diplopelta sp.
260,Diplopsalis group
261,Diplopsalis sp.
262,Diplopsalopsis sp.
263,Dissodium asymmetricum
264,Dissodinium pseudolunula
265,Distephanus speculum
266,Ditylum brightwellii
267,Ditylum sp.
268,Duboscquella sp.
269,Dunaliella sp.
270,Ebria tripartita
271,Ebria sp.
272,Emiliania huxleyi
273,Entemoneis sp.
274,Entzia acuta
275,Epithemia sp.
276,Eucampia zodiacus
277,Eucampia sp.
278,Euglenales
279,Euglena sp.
280,Euglenophyceae
281,Eunotia sp.
282,Eupodiscales
283,Eutreptiella braarudii
284,Eutreptiella eupharyngea
285,Eutreptiella gymnastica
286,Eutreptia sp.
287,Eutreptiella sp.
288,Flagellate x
289,Unidentified flagellates; cysts
290,Unidentified flagellates
291,Fragilaria bicapitata
292,Fragilaria brevistriata
293,Fragilaria capucina
294,Fragilaria construens
295,Fragilaria pinnata
296,Fragilaria virescens
297,Fragilaria sp.
298,Fragilariopsis cylindrus
299,Frustulia sp.
300,Gephyrocapsa huxleyi
301,Glenodiniopsis sp.
302,Glenodinium danicum
303,Glenodinium hallii
304,Glenodinium foliaceum
305,Glenodinium sp.
306,Gloeocapsa sp.
